36,1.3,-8.86,8.95,-0.00812132,-1.74353e-05,10.53,0,9.49668e-06,-131.84,-131.84,-0.011292,3.13125,-0.001,-755.25,-755.25,0.0109633
37,1.38,-9.38,9.5,-0.0193014,-1.74364e-05,10.6875,-0.0002,-1.87135e-05,-477.44,-477.44,-0.012818,2.73825,-0.003,-979.688,-979.688,0.00941458
38,1.46,-9.92,10.05,-0.0233128,-1.74377e-05,10.665,-0.0004,-4.68823e-05,-755.28,-755.28,0.010072,-4.21125,-0.0015,-947.625,-947.625,0.00794825
39,1.54,-10.44,10.55,0.00299999,-1.7439e-05,10.44,0,9.57854e-06,-979.76,-979.76,0.007783,-5.4255,0.0125,-627,-627,-0.00995
40,1.62,-10.94,11.05,0.0114076,-1.74404e-05,10.1675,0.0006,3.9341e-05,-947.68,-947.68,0.006257,-5.33,0.006,-238.688,-238.688,-0.0117073
41,1.68,-11.44,11.55,-0.0144836,-1.74419e-05,9.92,0.0006,4.03226e-05,-627.04,-627.04,-0.011292,-3.6145,-0.0055,114,114,0.00911171
42,1.76,-11.92,12.05,0.00227913,-1.74434e-05,9.7675,-0.0002,-5.11902e-05,-238.72,-238.72,-0.012818,-1.3995,-0.012,331.312,331.312,-0.00383149
43,1.82,-12.4,12.55,-0.0191519,-1.74451e-05,9.7225,-0.0008,-5.14271e-05,114,114,0.008546,0.55575,0.0035,395.438,395.438,-0.000266094
44,1.9,-12.9,13.05,-0.0110758,-1.74469e-05,9.7625,-0.0002,1.02433e-05,331.28,331.28,-0.005188,1.75425,0,338.438,338.438,0.000480181
45,1.98,-13.38,13.55,0.0252242,-1.74487e-05,9.855,0,-2.02943e-05,395.36,395.36,-0.00061,2.1125,-0.0045,206.625,206.625,-0.00362678
46,2.04,-13.86,14,-0.0100991,-1.74505e-05,9.9575,0,-2.00854e-05,338.4,338.4,-0.00061,1.80225,0.001,60.5625,60.5625,0.010088
47,2.12,-14.36,14.5,0.015817,-1.74525e-05,10.04,0,-1.99203e-05,206.56,206.56,-0.003662,1.07625,-0.001,-57,-57,-0.0111787
48,2.2,-14.86,15,0.0235613,-1.74546e-05,10.0825,-0.0002,-1.98364e-05,60.56,60.56,0.010072,0.2685,0.005,-117.562,-117.562,-0.0128866
49,2.26,-15.36,15.55,-0.0251449,-1.74563e-05,10.09,0.0002,9.9108e-06,-57.04,-57.04,-0.011292,-0.3825,-0.0025,-128.25,-128.25,0.0112339
50,2.34,-15.86,16.05,0.0183417,-1.74552e-05,10.065,-0.0002,-1.98708e-05,-117.6,-117.6,-0.013581,-0.7185,-0.014,-92.625,-92.625,-0.011092
51,2.42,-16.36,16.55,0.0140468,-0.000117452,10.03,-0.0008,-4.98504e-05,-128.32,-128.32,0.010072,-0.7785,0.003,-42.75,-42.75,-0.0127083
52,2.48,-16.84,17,-0.0218897,-0.000117446,9.9925,0,1.00075e-05,-92.64,-92.64,-0.011292,-0.582,-0.0005,10.6875,10.6875,0.00891551
53,2.56,-17.34,17.55,0.0222296,-0.000117436,9.9675,-0.0002,-2.00652e-05,-42.8,-42.8,-0.012818,-0.3065,-0.014,46.3125,46.3125,-0.00916651
54,2.62,-17.84,18.05,-0.02151,-0.000117425,9.955,-0.0006,-5.0226e-05,10.64,10.64,0.008546,-0.01075,0.0035,64.125,64.125,0.00966105
55,2.7,-18.32,18.5,-0.0179663,-0.000117413,9.955,0,1.00452e-05,10.64,10.64,-0.009766,-0.01,0,64.125,64.125,0.00773455
56,2.78,-18.82,19,0.024645,-0.000117396,9.9575,-0.0002,-2.00854e-05,64.08,64.08,0.008546,0.2845,0,60.5625,60.5625,-0.00181795
57,2.84,-19.32,19.55,-0.0241245,-0.000117375,9.9725,0.0002,1.00276e-05,64.08,64.08,0.00702,0.285,0.0095,39.1875,39.1875,0.00402964
58,2.92,-19.8,20,0.0141545,-0.000117356,9.985,0.0004,4.00601e-05,60.56,60.56,-0.002136,0.2655,0.0005,21.375,21.375,0.00145756
59,3,-20.3,20.5,0.021426,-0.000117334,9.9975,0.0002,1.00025e-05,39.12,39.12,0.003968,0.14725,0.001,3.5625,3.5625,-0.00021861
60,3.06,-20.8,21,-0.0249636,-0.00011732,10.005,0.0002,9.995e-06,21.36,21.36,0.000916,0.049,0.0025,-7.125,-7.125,0.00157681
61,3.14,-21.3,21.55,-0.0198283,-0.000117317,10.005,0,9.995e-06,3.52,3.52,-0.00061,-0.0495,-0.001,-7.125,-7.125,0.00167942
62,3.22,-21.78,22,0.0185679,-0.000117324,10.0025,0,9.9975e-06,-7.2,-7.2,0.000916,-0.10875,-0.0005,-3.5625,-3.5625,-0.00538618
63,3.28,-22.28,22.5,-0.0208925,-0.00011734,9.9975,0,1.00025e-05,-7.2,-7.2,0.000916,-0.109,0.001,3.5625,3.5625,0.00514417
64,3.36,-22.78,23.05,0.0235455,-0.00011737,9.99,0,1.001e-05,-3.6,-3.6,-0.006714,-0.089,-0.004,14.25,14.25,-0.00440409
65,3.42,-23.26,23.5,-0.0142142,-0.000117404,9.9875,-0.0002,-2.0025e-05,3.52,3.52,0.003968,-0.04975,0,17.8125,17.8125,0.010731
66,3.5,-23.76,24,-0.0168419,-0.00011745,9.985,0,1.0015e-05,14.24,14.24,-0.005188,0.0095,-0.0005,21.375,21.375,0.0130667
67,3.58,-24.26,24.5,0.0228479,-0.000117507,9.985,0,-2.003e-05,17.76,17.76,0.009309,0.029,0.003,21.375,21.375,-0.0107206
68,3.64,-24.76,25.05,-0.0263739,-0.000117581,9.9875,0.0004,4.00501e-05,21.36,21.36,0.010835,0.049,0.011,17.8125,17.8125,0.0124112
69,3.72,-25.24,25.5,-0.0128352,-0.000117647,9.99,0.0006,4.004e-05,21.36,21.36,-0.011292,0.049,-0.004,14.25,14.25,0.0123695
70,3.8,-25.74,26,0.0194229,-0.000117695,9.9925,0,-2.0015e-05,17.76,17.76,0.011598,0.029,0.0015,10.6875,10.6875,-0.00878929
71,3.86,-26.24,26.5,-0.0243148,-0.000117715,9.9925,0.0002,4.003e-05,14.24,14.24,0.011598,0.0095,0.013,10.6875,10.6875,0.00933566
72,3.94,-26.72,27,-0.00893132,-1.77037e-05,9.995,0.0006,4.002e-05,10.64,10.64,-0.009766,-0.01025,-0.0045,7.125,7.125,0.0072839
73,4.02,-27.22,27.5,0.0163219,-1.76631e-05,9.9925,0,-2.0015e-05,10.64,10.64,0.008546,-0.01025,-0.0005,10.6875,10.6875,-0.00235036
